N,P,K,pH,EC,OC,Cu,Fe,Mn,Rainfall,Humidity,Temperature,Label
570.4,78.2,291.2,7.2,0.05,1.3,0.46,14.6,3.8,65.7,69.49,19.0175,Apple
588.9,68.7,336.1,5.7,0.04,1.32,0.53,13.9,4.2,74.64,61.15,15.9337,Apple
355.6,67.2,296.8,6.0,0.03,0.6,0.48,11.4,4.1,102.46,52.21,21.7364,Apple
563.7,71.4,389.7,7.7,0.14,1.4,0.43,15.6,3.6,75.39,68.02,22.5089,Apple
556.2,64.6,421.5,6.0,0.07,0.9,0.38,12.3,4.4,75.94,80.36,21.2611,Apple
558.9,19.2,411.0,6.9,0.06,1.0,0.41,10.9,3.8,66.78,80.22,21.8825,Apple
412.4,40.5,582.4,6.5,0.06,0.7,0.39,9.8,4.0,82.76,64.85,22.8556,Apple
386.7,21.3,153.4,6.6,0.04,0.57,0.51,12.6,3.2,95.91,50.72,17.6934,Apple
415.2,32.0,515.2,7.3,0.3,0.76,0.43,16.1,3.4,107.4,50.86,18.6802,Apple
318.9,17.0,134.4,6.8,0.2,0.49,0.35,12.2,3.1,91.98,64.57,19.8164,Apple
576.4,58.9,289.5,7.2,0.13,0.93,0.35,18.9,5.2,86.97,52.93,22.9408,Apple
612.4,61.3,345.6,6.7,0.12,1.14,0.41,16.5,4.8,92.18,65.7,16.8357,Apple
489.7,60.4,414.5,6.5,0.11,0.79,0.31,14.2,4.3,91.6,60.92,17.2472,Apple
561.5,71.5,378.9,7.1,0.09,0.85,0.29,12.8,4.1,73.84,61.75,22.705,Apple
496.7,63.5,282.5,6.2,0.16,0.72,0.37,15.2,3.8,86.48,56.29,17.6143,Apple
461.7,54.8,367.3,7.5,0.09,0.68,0.45,11.9,3.2,73.61,52.82,21.2019,Apple
489.5,38.9,217.4,7.2,0.14,0.88,0.33,12.4,4.1,78.76,67.51,15.3513,Apple
416.7,68.4,289.4,7.6,0.13,0.67,0.29,16.2,3.2,109.6,63.22,21.9499,Apple
404.2,67.3,386.7,7.1,0.1,0.54,0.42,14.3,3.8,85.75,79.9,20.1438,Apple
237.6,10.9,83.4,6.4,0.05,0.27,0.34,15.0,3.8,83.49,50.8,18.3156,Apple
346.4,25.5,224.0,6.9,0.02,0.45,0.97,13.1,4.3,70.79,54.81,20.1297,Apple
217.6,27.7,312.5,6.5,0.03,0.38,1.1,10.4,2.7,85.33,78.38,22.2387,Apple
213.4,15.8,504.1,7.0,0.03,0.16,0.64,12.7,2.7,92.54,54.57,22.7513,Apple
159.5,30.5,190.4,7.2,0.01,0.22,1.41,14.8,3.8,74.55,58.77,21.7814,Apple
289.7,19.6,526.4,7.1,0.06,0.48,0.83,16.7,4.1,78.3,66.07,18.5672,Apple
347.8,16.7,325.6,7.3,0.06,0.46,1.28,14.3,2.3,104.24,51.21,19.4873,Apple
549.4,26.2,184.5,7.4,0.02,1.1,0.61,9.8,3.9,96.72,57.67,21.8297,Apple
376.5,18.9,314.4,7.5,0.01,0.75,0.57,11.9,3.6,91.82,68.33,15.0328,Apple
289.5,26.2,127.6,7.7,0.09,0.48,0.21,12.22,7.6,79.56,80.18,21.1557,Apple
414.5,37.5,212.8,6.7,0.03,0.78,0.71,14.4,8.0,77.17,70.86,15.4793,Apple
313.4,24.5,156.2,7.4,0.12,0.62,0.1,9.8,6.0,74.61,65.82,20.6045,Apple
302.4,28.5,179.2,7.2,0.03,0.58,0.43,12.6,9.0,76.53,52.38,19.9571,Apple
512.1,30.8,190.4,8.0,0.11,0.84,0.76,9.5,4.0,91.17,74.37,20.3355,Apple
272.4,31.4,212.8,7.1,0.04,0.47,0.82,6.3,6.5,91.8,68.1,15.9339,Apple
294.5,29.8,268.8,7.9,0.13,0.51,0.82,6.3,6.5,89.48,67.15,16.0851,Apple
347.8,16.7,325.6,7.3,0.06,0.46,1.28,14.3,2.3,65.38,75.62,16.3384,Apple
250.4,30.3,324.8,7.2,0.03,0.15,1.47,15.4,3.6,84.76,69.79,22.1223,Apple
424.3,18.4,215.7,6.3,0.04,0.46,1.23,12.1,2.9,100.19,79.42,17.5941,Apple
549.4,26.2,784.5,7.4,0.02,1.1,0.61,9.8,3.9,97.51,58.2,18.2035,Apple
154.4,16.7,537.4,7.4,0.4,0.22,1.18,9.0,2.17,92.32,65.02,16.8058,Apple
376.4,62.4,78.4,7.6,0.05,0.76,0.38,7.35,6.6,80.03,78.71,17.2499,Apple
289.5,26.2,127.6,7.7,0.09,0.48,0.21,12.22,6.4,82.84,59.27,22.5517,Apple
589.3,89.6,644.2,6.6,0.05,1.41,0.49,18.3,5.6,65.07,59.43,17.8431,Apple
341.7,21.7,116.8,7.4,0.13,0.63,0.88,6.67,3.9,93.93,55.29,22.4639,Apple
234.8,11.0,103.4,7.2,0.1,0.29,0.69,5.54,3.91,96.62,60.25,17.8408,Apple
221.8,10.2,95.2,7.1,0.09,0.24,0.5,8.0,3.3,54.65,78.74,20.385,Apple
265.9,45.2,348.2,8.0,0.14,0.28,0.64,9.0,3.16,70.93,73.55,21.0156,Apple
246.5,30.6,324.4,7.9,0.13,0.21,0.58,12.0,2.8,80.44,75.77,22.6241,Apple
284.5,18.9,133.2,6.7,0.08,0.31,0.49,21.48,4.27,74.66,66.77,17.0466,Apple
292.7,12.1,159.4,5.9,0.09,0.66,0.78,12.47,5.81,65.43,66.12,18.8103,Apple
437.5,17.4,188.4,7.1,0.07,0.61,0.19,7.14,5.17,82.96,53.03,22.7478,Apple
221.8,14.7,167.3,5.8,0.04,0.28,0.17,11.12,3.17,83.07,60.21,18.0502,Apple
414.5,22.8,212.8,7.2,0.06,0.58,0.48,4.18,8.48,63.71,64.41,20.277,Apple
376.3,24.8,134.4,5.8,0.03,0.27,0.84,15.96,0.46,65.01,70.44,21.4072,Apple
484.7,18.9,408.4,6.1,0.08,0.62,0.85,12.17,8.19,104.27,76.77,18.296,Apple
189.5,24.3,224.0,5.7,0.01,0.45,1.48,17.61,0.78,85.48,70.33,16.871,Apple
439.0,15.3,101.6,7.4,0.02,0.61,0.74,21.2,2.1,70.37,79.4,19.5704,Apple
156.8,38.4,66.9,4.5,0.01,0.14,1.8,12.0,9.0,66.29,74.54,18.6031,Apple
156.8,38.4,100.8,4.5,0.01,0.14,0.2,12.95,6.0,86.52,70.91,17.1085,Apple
348.4,6.8,134.4,7.1,0.03,0.45,1.2,12.2,8.0,69.94,57.12,19.8074,Apple
312.5,13.2,280.1,6.8,0.01,0.48,1.9,12.4,6.5,89.67,66.55,17.3349,Apple
159.4,6.2,179.2,6.7,0.01,0.18,1.8,8.8,4.0,73.19,57.89,15.4624,Apple
126.7,6.8,134.4,5.9,0.04,0.15,1.2,13.0,6.4,62.28,55.36,16.5133,Apple
174.5,13.4,138.9,6.8,0.1,0.28,1.1,16.1,1.5,81.64,61.67,16.6009,Apple
421.5,11.9,336.1,5.8,0.03,0.42,1.9,19.4,8.6,84.53,77.24,16.1191,Apple
125.5,6.8,123.2,6.9,0.01,0.25,1.4,6.2,2.7,92.29,72.93,18.9475,Apple
174.5,13.4,138.9,7.3,0.1,0.28,1.1,16.1,1.5,84.47,56.35,15.412,Apple
406.7,14.3,168.0,5.8,0.08,0.81,0.61,15.5,5.5,77.59,58.21,22.5262,Apple
467.8,19.1,380.8,8.0,0.13,1.26,0.57,4.7,6.9,109.71,62.47,21.2541,Apple
309.7,18.9,336.1,5.6,0.27,0.79,0.49,25.3,3.0,92.52,60.76,20.1853,Apple
219.2,18.7,313.6,8.6,0.15,0.15,0.09,6.0,3.9,84.25,64.39,19.3155,Apple
313.5,14.2,324.8,6.6,0.06,0.55,0.48,10.8,6.3,86.56,78.06,16.6078,Apple
487.6,13.5,393.6,6.8,0.45,1.62,0.68,15.2,3.0,79.92,80.36,17.1346,Apple
248.4,34.8,294.0,7.4,0.05,0.46,2.12,5.24,9.17,75.96,53.26,21.8872,Apple
439.0,46.4,414.4,6.8,0.07,1.3,2.13,20.9,6.3,71.49,59.05,22.8615,Apple
396.6,40.1,295.1,7.5,0.07,0.7,1.05,7.0,5.1,90.43,62.5,21.6593,Apple
258.4,4.5,190.4,7.1,0.13,0.3,1.3,8.6,1.0,105.6,58.9,15.5879,Apple
282.2,18.8,142.2,7.1,0.11,0.6,1.3,8.6,1.0,97.99,79.24,21.4421,Apple
313.6,18.3,142.2,7.1,0.08,0.35,0.88,6.6,1.8,65.86,54.65,18.5093,Apple
313.6,7.39,168.0,7.1,0.07,0.62,0.82,6.8,2.2,84.47,56.28,18.4984,Apple
250.0,40.3,178.0,7.6,0.15,0.37,1.3,9.0,5.2,64.45,71.78,20.2108,Apple
410.5,8.3,255.0,7.0,0.03,0.68,0.73,8.8,2.6,89.43,71.48,22.3162,Apple
117.3,18.7,111.4,7.7,0.05,0.12,1.5,19.6,4.2,82.89,75.31,18.4115,Apple
311.6,38.6,475.6,7.9,0.11,0.5,0.76,5.4,1.8,101.91,71.15,16.6912,Apple
589.4,48.2,548.8,7.3,0.31,1.8,0.75,7.8,0.94,73.62,59.5,15.7317,Apple
489.5,38.2,201.6,8.3,0.44,0.97,1.5,16.8,2.7,70.75,60.18,18.2598,Apple
579.6,78.9,560.0,6.3,0.11,1.63,3.8,18.8,3.3,102.55,64.17,18.5174,Apple
576.2,72.4,515.2,5.9,0.08,1.48,2.8,19.2,2.9,92.35,50.73,19.9133,Apple
588.9,76.7,347.2,6.7,0.4,1.53,1.4,17.3,4.6,90.02,78.31,20.3856,Apple
216.8,22.6,201.6,8.0,0.29,0.36,0.72,14.2,0.98,78.31,55.71,20.4433,Apple
583.4,56.6,324.8,6.9,0.39,1.1,1.56,16.9,3.4,128.98,59.0,19.7664,Apple
578.5,86.7,649.6,5.5,0.08,1.3,2.12,23.0,5.1,67.28,73.54,17.5152,Apple
497.3,62.4,672.0,8.2,0.58,1.0,3.76,10.3,2.0,81.06,56.88,15.9712,Apple
347.4,30.9,224.0,8.0,0.67,0.45,1.2,17.8,3.7,74.96,60.22,17.0048,Apple
478.4,32.5,168.4,7.8,0.06,0.68,1.8,12.8,2.1,80.2,55.7,18.7861,Apple
588.4,27.6,414.5,7.7,0.09,1.21,1.6,14.3,3.7,94.41,51.32,17.1147,Apple
468.9,28.1,286.7,6.7,0.13,0.86,2.2,12.4,2.1,71.65,54.25,18.6861,Apple
497.4,26.4,294.5,7.4,0.06,0.94,2.1,14.5,2.6,97.24,63.52,19.6152,Apple
512.4,29.5,185.6,6.7,0.11,0.96,3.1,15.1,3.8,83.44,71.94,17.813,Apple
467.2,36.2,346.5,6.2,0.09,0.68,2.8,13.1,2.9,95.79,73.33,18.0367,Apple
342.4,24.6,218.5,7.8,0.41,0.42,2.9,11.8,3.1,77.79,72.74,18.0177,Apple
580.5,36.2,376.2,8.1,0.18,1.06,3.7,14.2,4.2,87.05,73.06,22.5301,Apple
328.3,8.8,45.5,6.8,0.03,0.44,2.7,7.5,2.7,77.76,55.46,20.6096,Apple
348.9,6.4,336.0,5.6,0.05,0.4,0.3,6.3,3.3,73.24,75.64,16.1597,Apple
596.4,38.6,134.4,5.1,0.07,1.6,0.21,16.9,3.9,83.46,56.64,22.8968,Apple
478.9,51.7,123.2,5.5,0.1,0.88,0.82,5.4,3.6,89.46,61.85,16.2165,Apple
547.4,11.1,163.5,7.7,0.09,1.0,2.68,16.0,0.74,75.96,55.42,21.9545,Apple
532.9,18.5,253.1,7.1,0.1,0.9,3.6,15.0,0.9,58.69,66.3,19.2212,Apple
571.5,98.9,329.2,6.3,0.06,2.4,0.8,12.2,2.8,96.94,70.73,22.0001,Apple
338.6,16.3,155.1,7.0,0.08,0.6,0.28,14.6,3.5,93.99,61.05,16.0091,Apple
257.1,17.1,142.2,6.4,0.09,0.72,0.29,17.2,4.5,78.55,70.81,18.8405,Apple
288.5,13.5,133.2,6.3,0.3,0.61,0.31,18.3,3.9,75.92,53.52,21.8779,Apple
351.2,61.9,390.1,6.4,0.12,1.2,0.59,15.9,4.0,69.36,52.54,16.5178,Apple
344.9,18.2,114.2,6.2,0.15,0.9,0.48,6.2,5.9,93.1,65.69,18.3676,Apple
385.7,20.7,124.3,6.3,0.09,0.62,0.71,18.5,3.0,88.34,76.57,15.8147,Apple
262.3,14.8,241.9,6.5,0.07,0.91,0.38,13.8,2.9,86.82,54.22,21.8059,Apple
273.4,18.3,137.7,6.3,0.06,0.63,0.48,17.8,2.8,81.68,69.12,18.8822,Apple
349.2,53.3,481.4,7.7,0.4,0.98,0.61,15.2,3.9,75.96,63.17,19.1758,Apple
354.6,24.4,181.9,7.0,0.15,0.81,0.47,13.1,3.5,77.02,67.05,16.9558,Apple
392.0,29.3,148.2,7.1,0.09,0.3,0.38,11.2,3.9,72.96,64.41,19.8717,Apple
334.5,14.2,218.0,6.4,0.16,0.59,0.35,14.9,5.6,108.79,71.85,21.8832,Apple
324.9,18.36,219.6,6.2,0.12,0.61,0.55,14.8,6.0,107.51,54.15,16.1365,Apple
354.6,19.2,312.4,6.3,0.09,0.79,0.56,18.9,3.9,70.73,66.22,20.7824,Apple
432.9,22.4,198.2,6.5,0.13,0.65,0.48,14.6,4.5,69.66,51.47,18.8937,Apple
432.6,34.2,139.6,6.6,0.07,0.79,0.45,15.5,5.0,69.81,52.72,21.2746,Apple
324.2,19.6,120.2,6.7,0.15,0.62,0.62,16.9,5.6,92.98,64.48,22.6887,Apple
287.2,14.2,132.9,6.7,0.13,0.59,0.57,15.2,5.9,96.53,65.99,21.9459,Apple
